Role,Module,Page,Path,Task title,Subtitle,Status
Shared shell,Authentication & chrome,Login,/login,Initial UI/UX,"Email, password, demo account chips",Completed
Shared shell,Authentication & chrome,Login,/login,Frontend implementation,Session in localStorage; admin password restricted,Completed
Shared shell,Authentication & chrome,Login,/login,API-ready client,Need /api/v1 admin + finops resources,In progress
Shared shell,Authentication & chrome,Login,/login,API wiring,Still on localStorage,In progress
Shared shell,Authentication & chrome,Login,/login,QA / verification,Pending verification,To do
Shared shell,Authentication & chrome,Login,/login,Documentation,Documented in app-modules §3,Completed
Shared shell,Authentication & chrome,Profile,/profile,Initial UI/UX,"Read-only name, email, role, organization",Completed
Shared shell,Authentication & chrome,Profile,/profile,Frontend implementation,Reads AuthContext only; no edit,Completed
Shared shell,Authentication & chrome,Profile,/profile,API-ready client,Need /api/v1 admin + finops resources,In progress
Shared shell,Authentication & chrome,Profile,/profile,API wiring,Still on localStorage,In progress
Shared shell,Authentication & chrome,Profile,/profile,QA / verification,Pending verification,To do
Shared shell,Authentication & chrome,Profile,/profile,Documentation,Covered in app-modules / user guide,Completed
Shared shell,Authentication & chrome,Notifications,Header bell,Initial UI/UX,Pending credit requests + low/zero credits,Completed
Shared shell,Authentication & chrome,Notifications,Header bell,Frontend implementation,Per-org read state in localStorage,Completed
Shared shell,Authentication & chrome,Notifications,Header bell,API-ready client,Sub client has notifications.js; other roles do not,In progress
Shared shell,Authentication & chrome,Notifications,Header bell,API wiring,Bell still uses storage.js,In progress
Shared shell,Authentication & chrome,Notifications,Header bell,QA / verification,Pending verification,To do
Shared shell,Authentication & chrome,Notifications,Header bell,Documentation,Covered in app-modules / user guide,Completed
Shared shell,Authentication & chrome,Reset Demo Data,User menu,Initial UI/UX,Confirm in the user menu,Completed
Shared shell,Authentication & chrome,Reset Demo Data,User menu,Frontend implementation,Reseeds localStorage; keeps session if user still exists,Completed
Shared shell,Authentication & chrome,Reset Demo Data,User menu,API-ready client,Demo-only; not a production API,In progress
Shared shell,Authentication & chrome,Reset Demo Data,User menu,API wiring,Not applicable until a backend seed/reset exists,In progress
Shared shell,Authentication & chrome,Reset Demo Data,User menu,QA / verification,Pending verification,To do
Shared shell,Authentication & chrome,Reset Demo Data,User menu,Documentation,Called out in app-modules and user guides,Completed
Admin module,Financials Dashboard,Dashboard,/dashboard,Initial UI/UX,Upfront + billable monthly collections KPIs and tables,Completed
Admin module,Financials Dashboard,Dashboard,/dashboard,Frontend implementation,esarisari_franchise_collections ledger,Completed
Admin module,Financials Dashboard,Dashboard,/dashboard,API-ready client,Need /api/v1 admin + finops resources,In progress
Admin module,Financials Dashboard,Dashboard,/dashboard,API wiring,Still on localStorage,In progress
Admin module,Financials Dashboard,Dashboard,/dashboard,QA / verification,Pending verification,To do
Admin module,Financials Dashboard,Dashboard,/dashboard,Documentation,Covered in app-modules / user guide,Completed
Admin module,Clients & franchise setup,Clients list,/franchise-setup/clients,Initial UI/UX,Registered + seeded portfolio; Add New Client,Completed
Admin module,Clients & franchise setup,Clients list,/franchise-setup/clients,Frontend implementation,localStorage registered clients + demo portfolio,Completed
Admin module,Clients & franchise setup,Clients list,/franchise-setup/clients,API-ready client,Need /api/v1 admin + finops resources,In progress
Admin module,Clients & franchise setup,Clients list,/franchise-setup/clients,API wiring,Still on localStorage,In progress
Admin module,Clients & franchise setup,Clients list,/franchise-setup/clients,QA / verification,Pending verification,To do
Admin module,Clients & franchise setup,Clients list,/franchise-setup/clients,Documentation,Covered in app-modules / user guide,Completed
Admin module,Clients & franchise setup,Client details,/franchise-setup/clients/:clientId,Initial UI/UX,"Activate, split, collections, territory",Completed
Admin module,Clients & franchise setup,Client details,/franchise-setup/clients/:clientId,Frontend implementation,Same collection ledger as Dashboard,Completed
Admin module,Clients & franchise setup,Client details,/franchise-setup/clients/:clientId,API-ready client,Need /api/v1 admin + finops resources,In progress
Admin module,Clients & franchise setup,Client details,/franchise-setup/clients/:clientId,API wiring,Still on localStorage,In progress
Admin module,Clients & franchise setup,Client details,/franchise-setup/clients/:clientId,QA / verification,Pending verification,To do
Admin module,Clients & franchise setup,Client details,/franchise-setup/clients/:clientId,Documentation,Covered in app-modules / user guide,Completed
Admin module,Clients & franchise setup,Onboarding step 1 — Client Info,/franchise-setup/onboarding/step-1,Initial UI/UX,Admin credentials + company profile,Completed
